id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
52363,1,1,80800,"Novi Sad","Gradske lokacije",41,NULL,2020,1,5,NULL,"grejanje na gas",2,NULL,NULL,1,1
11189,1,1,80780,"Novi Sad","Gradske lokacije",48,NULL,2020,6,7,NULL,"centralno grejanje",2,NULL,NULL,1,1
46874,1,1,80760,"Novi Sad","Gradske lokacije",49,NULL,2020,3,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
26709,1,1,80650,"Novi Sad","Gradske lokacije",87,NULL,2020,0,2,1,"grejanje na gas",3,2,1,NULL,1
26615,1,1,80350,"Novi Sad","Gradske lokacije",78,NULL,2020,0,1,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
46945,1,1,80300,"Novi Sad","Gradske lokacije",44,NULL,2020,4,5,NULL,"grejanje na gas",2,NULL,NULL,1,1
43047,1,1,80150,"Novi Sad","Gradske lokacije",38,NULL,2020,2,3,NULL,"centralno grejanje",2,NULL,NULL,1,1
7828,0,1,80000,"Novi Sad","Okolne lokacije",220,42700,2020,NULL,NULL,1,NULL,7,NULL,NULL,NULL,NULL
9856,1,1,80000,"Novi Sad","Gradske lokacije",61,NULL,2020,0,3,1,"grejanje na gas",3,1,1,1,1
43884,1,1,79974,"Novi Sad","Gradske lokacije",44,NULL,2020,5,7,NULL,"centralno grejanje",2,NULL,NULL,1,1
43894,1,1,79974,"Novi Sad","Gradske lokacije",44,NULL,2020,2,7,NULL,"centralno grejanje",2,NULL,NULL,1,1
48150,1,1,79926,Kragujevac,"Gradske lokacije",72,NULL,2020,NULL,NULL,1,"centralno grejanje",3,2,1,1,1
54016,1,1,79550,"Novi Sad","Gradske lokacije",39,NULL,2020,0,2,NULL,"grejanje na gas",2,NULL,NULL,1,1
37114,1,1,79500,Beograd,"Palilula opstina",43,NULL,2020,2,5,NULL,"etazno grejanje",2,1,1,1,1
54038,1,1,79500,"Novi Sad","Gradske lokacije",39,NULL,2020,1,2,NULL,"grejanje na gas",2,NULL,NULL,1,1
26063,1,1,79350,Beograd,"Zvezdara opstina",46,NULL,2020,1,3,NULL,"centralno grejanje",2,NULL,NULL,1,1
47751,1,1,79350,Kragujevac,"Gradske lokacije",69,NULL,2020,4,NULL,0,NULL,3,1,NULL,1,1
